City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Castro,BR,85.93,clear sky,-24.7911,-50.0119,Hotel Central Palace
6,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,Le Baril
8,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti International Resort
10,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
12,Cayenne,GF,84.24,light rain,4.9333,-52.3333,Central Hôtel
16,Comodoro Rivadavia,AR,75.06,broken clouds,-45.8667,-67.5,No hotel found
17,Alta Floresta,BR,83.88,overcast clouds,-9.8756,-56.0861,Villas Hotel
18,Caravelas,BR,81.63,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
31,Lindi,TZ,76.42,few clouds,-10.0,39.7167,Baraka inn
38,Padang,ID,76.35,light rain,-0.9492,100.3543,losmen Surya
41,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
45,Allada,BJ,81.36,clear sky,6.6655,2.1514,germe
48,Sao Joao Da Barra,BR,86.09,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
49,Bambanglipuro,ID,77.81,broken clouds,-7.95,110.2833,No hotel found
52,Kapaa,US,79.12,overcast clouds,22.0752,-159.319,Pono Kai Resort
54,Kununurra,AU,80.58,scattered clouds,-15.7667,128.7333,Kununurra Country Club Resort
59,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
60,Dzitas,MX,82.44,clear sky,20.85,-88.5167,No hotel found
61,Xai-Xai,MZ,76.55,scattered clouds,-25.0519,33.6442,No hotel found
67,Vanimo,PG,77.0,heavy intensity rain,-2.6741,141.3028,CBC Guesthouse
70,Salalah,OM,75.29,clear sky,17.0151,54.0924,Muscat International Hotel
75,Mahebourg,MU,77.29,light rain,-20.4081,57.7,Grand Bel Air
77,Manaure,CO,82.15,broken clouds,11.7751,-72.4445,hotel palaima
80,Dunmore Town,BS,75.02,clear sky,25.5,-76.65,The Landing Hotel & Restaurant
83,Cabo San Lucas,MX,79.61,clear sky,22.8909,-109.9124,Comfort Rooms
86,Atuona,PF,76.14,light rain,-9.8,-139.0333,Pearl Resort
88,Isla Mujeres,MX,82.45,clear sky,21.2311,-86.731,Villa La Bella
89,Vila Velha,BR,85.95,few clouds,-20.3297,-40.2925,Hotel Prainha
90,Port Elizabeth,ZA,77.09,broken clouds,-33.918,25.5701,Waterford Hotel
91,Hambantota,LK,76.8,moderate rain,6.1241,81.1185,Oasis Aurweda Resort Hambathota
92,Rikitea,PF,75.63,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
95,Tessalit,ML,77.9,clear sky,20.1986,1.0114,No hotel found
100,Cockburn Town,TC,77.81,clear sky,21.4612,-71.1419,The Salt Raker Inn
102,Bonthe,SL,82.67,scattered clouds,7.5264,-12.505,No hotel found
103,Waingapu,ID,79.07,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
106,Banjar,ID,75.97,overcast clouds,-8.19,114.9675,Villa Banjar Beach
109,Santa Maria Da Vitoria,BR,81.41,moderate rain,-13.3947,-44.1886,Hotel Passarela
111,Butaritari,KI,81.52,broken clouds,3.0707,172.7902,No hotel found
112,Durban,ZA,76.93,scattered clouds,-29.8579,31.0292,Tudor
115,Takoradi,GH,81.1,clear sky,4.8845,-1.7554,Hillcrest
118,Yulara,AU,87.01,broken clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
121,Unai,BR,83.37,broken clouds,-16.3575,-46.9061,Hotel Fazenda Curva do Rio
123,Bartica,GY,77.32,broken clouds,6.4,-58.6167,Rockville Hotel
128,Labuan,MY,77.36,few clouds,5.2767,115.2417,Labuan Avenue Hotel
130,Marsh Harbour,BS,75.88,clear sky,26.5412,-77.0636,Lofty Fig Villas
135,Dinguiraye,GN,83.66,clear sky,11.3,-10.7167,No hotel found
144,Boa Vista,BR,87.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
145,Kieta,PG,78.01,broken clouds,-6.2167,155.6333,No hotel found
147,Atar,MR,89.74,few clouds,20.5169,-13.0499,فندق سكليل
156,Spring Hill,US,80.91,scattered clouds,28.4769,-82.5255,No hotel found
157,Bangassou,CF,75.99,scattered clouds,4.7413,22.8184,Hotel De Tourisme
166,Tres Arroyos,AR,89.22,broken clouds,-38.3739,-60.2798,Andrea Hotel
167,Beloha,MG,75.18,scattered clouds,-25.1667,45.05,No hotel found
172,Pisco,PE,77.05,clear sky,-13.7,-76.2167,La Portada
180,Bogale,MM,75.78,scattered clouds,16.2833,95.4,No hotel found
181,Touros,BR,84.0,few clouds,-5.1989,-35.4608,Pousada Atlântico
186,Tahoua,NE,76.69,clear sky,14.8888,5.2692,Hotel Bungalow
196,Mar Del Plata,AR,82.42,clear sky,-38.0023,-57.5575,Nuevo Ostende
197,Kavieng,PG,81.7,overcast clouds,-2.5744,150.7967,Kavieng Hotel
198,Sur,OM,76.91,clear sky,22.5667,59.5289,Sur Hotel
203,Luganville,VU,80.83,overcast clouds,-15.5333,167.1667,Beachfront Resort
206,Rawson,AR,77.02,scattered clouds,-43.3002,-65.1023,Hotel Deportivo
209,Tevaitoa,PF,79.88,broken clouds,-16.7833,-151.5,Chambre d'hote
210,San Patricio,US,81.07,scattered clouds,28.017,-97.5169,No hotel found
213,Thinadhoo,MV,82.02,overcast clouds,0.5333,72.9333,No hotel found
214,Faanui,PF,80.06,scattered clouds,-16.4833,-151.75,Oa Oa Lodge
215,Natal,BR,86.65,scattered clouds,-5.795,-35.2094,Natal Palace Hotel
217,Mahajanga,MG,82.42,scattered clouds,-15.7167,46.3167,Vahiny Hotel
220,Grand Gaube,MU,77.4,moderate rain,-20.0064,57.6608,Coco Villa
224,Mahibadhoo,MV,81.32,moderate rain,3.7833,72.9667,Coral View Inn
230,Praya,CV,81.14,few clouds,14.9215,-23.5087,Casa Sodadi
242,Poum,NC,80.38,clear sky,-20.2333,164.0167,No hotel found
243,The Valley,AI,82.81,few clouds,18.217,-63.0578,CeBlue
248,Salina Cruz,MX,87.66,clear sky,16.1667,-95.2,Hotel Mision San José
249,Hithadhoo,MV,82.04,overcast clouds,-0.6,73.0833,Pebbles Inn
252,Zorritos,PE,80.89,overcast clouds,-3.6805,-80.6782,Hostal Zorritos Plaza
253,Mucurapo,TT,84.25,overcast clouds,10.6667,-61.5333,Liam's guest House
256,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,No hotel found
258,Galle,LK,78.51,light rain,6.0367,80.217,Jungle Hostel Villa
261,Campos Belos,BR,76.19,moderate rain,-13.0367,-46.7717,No hotel found
