City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,2022-12-09 18:24:32,-54.8,-68.3,49.62,66,40,9.22,light rain
1,Castro,BR,2022-12-09 18:25:36,-24.7911,-50.0119,85.93,42,0,4.52,clear sky
2,Mataura,NZ,2022-12-09 18:25:37,-46.1927,168.8643,53.26,96,99,1.63,overcast clouds
3,Jamestown,US,2022-12-09 18:25:37,42.097,-79.2353,35.19,46,7,7.0,clear sky
4,Saint-Francois,FR,2022-12-09 18:24:25,46.4154,3.9054,33.67,93,100,5.75,overcast clouds
5,Guerrero Negro,MX,2022-12-09 18:16:08,27.9769,-114.0611,65.57,52,25,13.78,scattered clouds
6,Saint-Philippe,RE,2022-12-09 18:25:38,-21.3585,55.7679,76.59,84,34,10.04,light rain
7,Flagstaff,US,2022-12-09 18:25:38,35.1981,-111.6513,45.05,32,0,8.05,clear sky
8,Vaini,TO,2022-12-09 18:25:39,-21.2,-175.2,77.16,94,75,8.05,light rain
9,Hobart,AU,2022-12-09 18:25:17,-42.8794,147.3294,51.66,89,100,1.14,overcast clouds
10,Isangel,VU,2022-12-09 18:25:40,-19.55,169.2667,77.11,94,75,0.0,broken clouds
11,Madikeri,IN,2022-12-09 18:25:40,12.4167,75.7333,57.87,82,100,3.06,overcast clouds
12,Cayenne,GF,2022-12-09 18:15:29,4.9333,-52.3333,84.24,70,20,10.36,light rain
13,Baie-Comeau,CA,2022-12-09 18:25:41,49.2168,-68.1489,20.88,63,0,6.91,clear sky
14,Milford,US,2022-12-09 18:23:12,41.2223,-73.0565,48.67,40,0,13.8,clear sky
15,Vostok,RU,2022-12-09 18:25:41,46.4856,135.8833,5.56,97,100,4.0,overcast clouds
16,Comodoro Rivadavia,AR,2022-12-09 18:17:45,-45.8667,-67.5,75.06,17,75,26.46,broken clouds
17,Alta Floresta,BR,2022-12-09 18:25:42,-9.8756,-56.0861,83.88,67,91,2.68,overcast clouds
18,Caravelas,BR,2022-12-09 18:25:42,-17.7125,-39.2481,81.63,82,20,6.87,moderate rain
19,Gawler,AU,2022-12-09 18:25:43,-34.6,138.7333,69.26,40,26,14.05,scattered clouds
20,Manikpur,IN,2022-12-09 18:25:43,25.0667,81.1167,58.84,42,94,0.65,overcast clouds
21,East London,ZA,2022-12-09 18:25:44,-33.0153,27.9116,74.34,88,0,10.36,clear sky
22,Saint George,US,2022-12-09 18:25:44,37.1041,-113.5841,47.43,63,0,1.99,clear sky
23,Codrington,AU,2022-12-09 18:25:45,-38.2667,141.9667,42.85,93,6,8.77,clear sky
24,Cape Town,ZA,2022-12-09 18:22:32,-33.9258,18.4232,72.09,73,20,10.36,few clouds
25,Chapais,CA,2022-12-09 18:25:45,49.7834,-74.8492,4.78,79,38,7.83,scattered clouds
26,Bethel,US,2022-12-09 18:23:41,41.3712,-73.414,47.55,54,0,9.22,clear sky
27,Shingu,JP,2022-12-09 18:25:46,33.7333,135.9833,48.96,70,100,6.89,overcast clouds
28,Punta Arenas,CL,2022-12-09 18:25:46,-53.15,-70.9167,55.42,62,75,12.66,broken clouds
29,Narsaq,GL,2022-12-09 18:16:19,60.9167,-46.05,21.42,74,36,6.78,scattered clouds
30,Longyearbyen,SJ,2022-12-09 18:25:47,78.2186,15.6401,17.44,86,20,12.66,few clouds
31,Lindi,TZ,2022-12-09 18:25:47,-10.0,39.7167,76.42,87,11,3.27,few clouds
32,Zainsk,RU,2022-12-09 18:25:48,55.3195,52.0694,14.99,74,100,14.56,overcast clouds
33,Geraldton,AU,2022-12-09 18:25:48,-28.7667,114.6,59.41,77,75,8.05,broken clouds
34,Port Alfred,ZA,2022-12-09 18:25:49,-33.5906,26.891,70.18,92,9,4.0,clear sky
35,Bredasdorp,ZA,2022-12-09 18:25:49,-34.5322,20.0403,70.16,68,3,11.16,clear sky
36,Yellowknife,CA,2022-12-09 18:25:49,62.456,-114.3525,0.12,78,100,8.05,light snow
