City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,San Vicente,AR,2022-12-10 04:20:56,-26.6167,-54.1333,67.73,85,72,2.26
1,Luderitz,NA,2022-12-10 04:20:57,-26.6481,15.1594,60.42,90,2,9.28
2,Bredasdorp,ZA,2022-12-10 04:19:39,-34.5322,20.0403,65.07,90,6,2.26
3,Pevek,RU,2022-12-10 04:19:38,69.7008,170.3133,-4.72,98,100,2.59
4,Norman Wells,CA,2022-12-10 04:20:21,65.282,-126.8329,-11.16,70,75,4.61
5,Norwalk,US,2022-12-10 04:17:50,33.9022,-118.0817,56.14,74,0,0.0
6,Hobart,AU,2022-12-10 04:20:59,-42.8794,147.3294,66.22,69,75,10.36
7,East London,ZA,2022-12-10 04:20:59,-33.0153,27.9116,68.94,88,0,3.44
8,Tiksi,RU,2022-12-10 04:21:00,71.6872,128.8694,-30.23,100,73,4.21
9,Butaritari,KI,2022-12-10 04:21:00,3.0707,172.7902,81.93,78,32,17.02
10,Bukama,CD,2022-12-10 04:21:01,-9.2,25.85,66.36,98,100,1.43
11,Fortuna,US,2022-12-10 04:19:36,40.5982,-124.1573,49.66,87,100,29.93
12,Pitimbu,BR,2022-12-10 04:19:05,-7.4706,-34.8086,77.59,78,64,10.33
13,Rikitea,PF,2022-12-10 04:21:02,-23.1203,-134.9692,76.37,79,13,10.96
14,Shenkursk,RU,2022-12-10 04:21:02,62.1091,42.896,16.95,94,100,6.29
15,Geraldton,AU,2022-12-10 04:19:45,-28.7667,114.6,77.41,44,1,20.71
16,Kodiak,US,2022-12-10 04:21:03,57.79,-152.4072,29.71,43,0,11.5
17,Comodoro Rivadavia,AR,2022-12-10 04:21:03,-45.8667,-67.5,60.66,39,0,23.02
18,Ushuaia,AR,2022-12-10 04:15:15,-54.8,-68.3,40.66,70,20,20.71
19,Dikson,RU,2022-12-10 04:19:49,73.5069,80.5464,-2.24,100,100,10.94
20,Jamestown,US,2022-12-10 04:21:04,42.097,-79.2353,28.53,68,0,9.22
21,Hilo,US,2022-12-10 04:19:47,19.7297,-155.09,70.11,90,75,3.44
22,Grenaa,DK,2022-12-10 04:21:05,56.4158,10.8783,34.02,92,100,7.7
23,Codrington,AU,2022-12-10 04:21:05,-38.2667,141.9667,73.09,44,4,6.38
24,Yellowknife,CA,2022-12-10 04:20:46,62.456,-114.3525,0.12,85,100,4.61
25,Port Alfred,ZA,2022-12-10 04:19:29,-33.5906,26.891,69.19,90,97,7.0
26,Bluff,NZ,2022-12-10 04:19:44,-46.6,168.3333,56.41,85,80,11.72
27,Chernyshevskiy,RU,2022-12-10 04:21:07,63.0128,112.4714,-13.63,97,100,2.42
28,Hay River,CA,2022-12-10 04:21:07,60.8156,-115.7999,-5.82,77,75,6.91
